NOTE: While the addresses returned from swapping are correct, there is an issue with memory from another variable overlapping the external disk array.
So junk data will appear in areas, but the 2 pages swapped out at the beginning are correct. Did not have time to fix the issue.

  Ext. Disk Addr.  | Content  |
------------------------------|
       0x0000      | null (0) |
       0x0001      | null (0) |
       0x0002      |   4 (52) |
       0x0003      | null (0) |
       0x0004      | null (0) |
       0x0005      | null (0) |
       0x0006      |   9 (57) |
       0x0007      | null (0) |
       0x0008      |   Q (81) |
       0x0009      | null (0) |
       0x000A      |   1 (49) |
       0x000B      | null (0) |
       0x000C      |   = (61) |
       0x000D      | null (0) |
       0x000E      |   W (87) |
       0x000F      | null (0) |
       0x0010      |   T (84) |
       0x0011      | null (0) |
       0x0012      |   6 (54) |
       0x0013      | null (0) |
       0x0014      |   U (85) |
       0x0015      | null (0) |
       0x0016      |   M (77) |
       0x0017      | null (0) |
       0x0018      | null (0) |
       0x0019      | null (0) |
       0x001A      |   X (88) |
       0x001B      | null (0) |
       0x001C      |   O (79) |
       0x001D      | null (0) |
       0x001E      | null (0) |
       0x001F      | null (0) |
       0x0020      | null (0) |
       0x0021      | null (0) |
       0x0022      | null (0) |
       0x0023      | null (0) |
       0x0024      | null (0) |
       0x0025      | null (0) |
       0x0026      |   6 (54) |
       0x0027      | null (0) |
       0x0028      | null (0) |
       0x0029      | null (0) |
       0x002A      | null (0) |
       0x002B      | null (0) |
       0x002C      | null (0) |
       0x002D      | null (0) |
       0x002E      | null (0) |
       0x002F      | null (0) |
       0x0030      |   9 (57) |
       0x0031      | null (0) |
       0x0032      | null (0) |
       0x0033      | null (0) |
       0x0034      | null (0) |
       0x0035      | null (0) |
       0x0036      | null (0) |
       0x0037      | null (0) |
       0x0038      |   N (78) |
       0x0039      | null (0) |
       0x003A      |   S (83) |
       0x003B      | null (0) |
       0x003C      | null (0) |
       0x003D      | null (0) |
       0x003E      | null (0) |
       0x003F      | null (0) |
       0x0040      | null (0) |
       0x0041      | null (0) |
       0x0042      |   4 (52) |
       0x0043      | null (0) |
       0x0044      |   J (74) |
       0x0045      | null (0) |
       0x0046      | null (0) |
       0x0047      | null (0) |
       0x0048      | null (0) |
       0x0049      | null (0) |
       0x004A      | null (0) |
       0x004B      | null (0) |
       0x004C      | null (0) |
       0x004D      | null (0) |
       0x004E      |   H (72) |
       0x004F      | null (0) |
       0x0050      |   W (87) |
       0x0051      | null (0) |
       0x0052      | null (0) |
       0x0053      | null (0) |
       0x0054      |   @ (64) |
       0x0055      | null (0) |
       0x0056      |   D (68) |
       0x0057      | null (0) |
       0x0058      | null (0) |
       0x0059      | null (0) |
       0x005A      | null (0) |
       0x005B      | null (0) |
       0x005C      |   9 (57) |
       0x005D      | null (0) |
       0x005E      | null (0) |
       0x005F      | null (0) |
       0x0060      | null (0) |
       0x0061      | null (0) |
       0x0062      |   G (71) |
       0x0063      | null (0) |
       0x0064      |   7 (55) |
       0x0065      | null (0) |
       0x0066      | null (0) |
       0x0067      | null (0) |
       0x0068      | null (0) |
       0x0069      | null (0) |
       0x006A      |   Q (81) |
       0x006B      | null (0) |
       0x006C      |   S (83) |
       0x006D      | null (0) |
       0x006E      |   7 (55) |
       0x006F      | null (0) |
       0x0070      |   L (76) |
       0x0071      | null (0) |
       0x0072      | null (0) |
       0x0073      | null (0) |
       0x0074      |   U (85) |
