PAGE TABLE ENTRY ARCHITECTURE LEGEND
-----------
FN   - Frame number
*NU* - Not Used
D    - Dirty
A    - Accessed
*NU* - Not Used
*NU* - Not Used 
U/S  - User/supervisor
R/W  - Read/write
P    - Present
----------

  Page  |                    Page Table Entry                   |
        |    FN    | *NU* | D | A | *NU* | *NU* | U/S | R/W | P |
---------------------------------------------------------------
0x0000  |  0x0200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0002  |  0x0400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0004  |  0x0600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 0 |
0x0006  |  0x0800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0008  |  0x0A00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x000A  |  0x0C00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x000C  |  0x0E00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x000E  |  0x1000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0010  |  0x1200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0012  |  0x1400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0014  |  0x1600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0016  |  0x1800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0018  |  0x1A00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x001A  |  0x1C00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 0 |
0x001C  |  0x1E00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x001E  |  0x2000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0020  |  0x2200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0022  |  0x2400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0024  |  0x2600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0026  |  0x2800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0028  |  0x2A00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x002A  |  0x2C00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x002C  |  0x2E00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x002E  |  0x3000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0030  |  0x3200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0032  |  0x3400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0034  |  0x3600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0036  |  0x3800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0038  |  0x3A00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x003A  |  0x3C00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x003C  |  0x3E00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x003E  |  0x4000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0040  |  0x4200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0042  |  0x4400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0044  |  0x4600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0046  |  0x4800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0048  |  0x4A00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x004A  |  0x4C00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x004C  |  0x4E00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x004E  |  0x5000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0050  |  0x5200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0052  |  0x5400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0054  |  0x5600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0056  |  0x5800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0058  |  0x5A00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x005A  |  0x5C00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x005C  |  0x5E00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x005E  |  0x6000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0060  |  0x6200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0062  |  0x6400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0064  |  0x6600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0066  |  0x6800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0068  |  0x6A00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x006A  |  0x6C00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x006C  |  0x6E00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x006E  |  0x7000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0070  |  0x7200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0072  |  0x7400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0074  |  0x7600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0076  |  0x7800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0078  |  0x7A00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x007A  |  0x7C00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x007C  |  0x7E00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x007E  |  0x8000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0080  |  0x8200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0082  |  0x8400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0084  |  0x8600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0086  |  0x8800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0088  |  0x8A00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x008A  |  0x8C00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x008C  |  0x8E00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x008E  |  0x9000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0090  |  0x9200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0092  |  0x9400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0094  |  0x9600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0096  |  0x9800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x0098  |  0x9A00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x009A  |  0x9C00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x009C  |  0x9E00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x009E  |  0xA000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00A0  |  0xA200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00A2  |  0xA400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00A4  |  0xA600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00A6  |  0xA800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00A8  |  0xAA00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00AA  |  0xAC00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00AC  |  0xAE00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00AE  |  0xB000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00B0  |  0xB200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00B2  |  0xB400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00B4  |  0xB600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00B6  |  0xB800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00B8  |  0xBA00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00BA  |  0xBC00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00BC  |  0xBE00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00BE  |  0xC000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00C0  |  0xC200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00C2  |  0xC400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00C4  |  0xC600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00C6  |  0xC800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00C8  |  0xCA00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00CA  |  0xCC00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00CC  |  0xCE00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00CE  |  0xD000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00D0  |  0xD200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00D2  |  0xD400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00D4  |  0xD600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00D6  |  0xD800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00D8  |  0xDA00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00DA  |  0xDC00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00DC  |  0xDE00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00DE  |  0xE000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00E0  |  0xE200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00E2  |  0xE400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00E4  |  0xE600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00E6  |  0xE800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00E8  |  0xEA00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00EA  |  0xEC00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00EC  |  0xEE00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00EE  |  0xF000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00F0  |  0xF200  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00F2  |  0xF400  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00F4  |  0xF600  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00F6  |  0xF800  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00F8  |  0xFA00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00FA  |  0xFC00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00FC  |  0xFE00  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
0x00FE  |  0x0000  |   0  | 0 | 0 |   0  |   0  |  0  |  1  | 1 |
